№;№(шина);Шифр ОП;Название ОП;Операции;Институт;Статус ОП;Уровень подготовки;Кафедра;Стандарт;Код и наименование УГН;Код направления;Направление подготовки;Год утв. ОП;Руководитель ОП;Администратор сайта ОП;Активная;Годы приёма;Вступительные испытания;Программа вступительных испытаний;Очная форма;Очно-заочная форма;Заочная форма;ФГОС;СУОC;Общая характеристика;Календарный учебный график;Аннотация;Рабочие программы дисциплин;Методические и иные документы;Проходной балл на очную форму;Проходной балл на очно-заочную форму;Проходной балл на заочную форму;Срок освоения по очной форме;Срок освоения по очно-заочной форме;Срок освоения по заочной форме;Сетевая форма;Совместная ОП;На иностранном языке
11782;8778;03.04.02/04.02;Физика конденсированного состояния;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;03.00.00 Физика и астрономия;'03.04.02';Физика;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
11984;9054;05.04.06/02.02;Экологические основы ландшафтного дизайна;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;05.00.00 Науки о Земле;'05.04.06';Экология и природопользование;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
12572;9634;27.04.05/02.02;Инновационные проекты;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;27.00.00 Управление в технических системах;'27.04.05';Инноватика;2016;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
12573;9635;27.03.05/02.02;Управление инновациями;;Институт естеwwwwwwwwwwwwwwственных наук и математики;Действующая до завершения срока освоения;Бакалавр;школы бакалавриата (школа);ФГОС ВО;27.00.00 Управление в технических системах;'27.03.05';Инноватика;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
8867;8495;06.04.01/03.02;Зоология беспозвоночных;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;06.00.00 Биологические науки;'06.04.01';Биология;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
8868;8496;06.04.01/02.02;Зоология позвоночных;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;06.00.00 Биологические науки;'06.04.01';Биология;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
8791;8449;04.04.01/02.02;Аналитическая химия;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;04.00.00 Химия;'04.04.01';Химия;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
8821;8465;06.04.01/01.02;Ботаника;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;06.00.00 Биологические науки;'06.04.01';Биология;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
8828;8470;04.04.01/05.02;Высокомолекулярные соединения;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;04.00.00 Химия;'04.04.01';Химия;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
9003;8575;06.04.01/05.02;Медицинская биология;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;06.00.00 Биологические науки;'06.04.01';Биология;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
8936;8536;03.04.02/03.02;Классическая и прикладная астрономия. Небесная механика;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;03.00.00 Физика и астрономия;'03.04.02';Физика;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
8979;8558;02.04.01/01.02;Математические основы компьютерных наук;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;02.00.00 Компьютерные и информационные науки;'02.04.01';Математика и компьютерные науки;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
9073;8615;04.04.01/03.02;Неорганическая химия;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;04.00.00 Химия;'04.04.01';Химия;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
9093;8625;04.04.01/04.02;Органическая химия;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;04.00.00 Химия;'04.04.01';Химия;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
9198;8694;02.04.01/03.02;Системное программирование;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;02.00.00 Компьютерные и информационные науки;'02.04.01';Математика и компьютерные науки;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
9251;8724;03.04.02/06.02;Теоретическая и математическая физика;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;03.00.00 Физика и астрономия;'03.04.02';Физика;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
9338;8777;03.04.02/02.02;Физика кинетических явлений;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;03.00.00 Физика и астрономия;'03.04.02';Физика;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
9340;8779;03.04.02/07.02;Физика конденсированного состояния;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;03.00.00 Физика и астрономия;'03.04.02';Физика;2015;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
9341;8780;03.04.02/05.02;Физика магнитных явлений;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;03.00.00 Физика и астрономия;'03.04.02';Физика;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
9343;8781;06.04.01/04.02;Физиология и биохимия растений;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;06.00.00 Биологические науки;'06.04.01';Биология;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
9350;8785;04.04.01/01.02;Физическая химия;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;04.00.00 Химия;'04.04.01';Химия;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
9393;8812;04.04.01/07.02;Химия окружающей среды, химическая экспертиза и экологическая безопасность;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;04.00.00 Химия;'04.04.01';Химия;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
9394;8813;04.04.01/06.02;Химия твердого тела;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;04.00.00 Химия;'04.04.01';Химия;2014;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
13138;10323;06.04.01/33.03;Фундаментальная и прикладная биология;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);СУОС;06.00.00 Биологические науки;'06.04.01';Биология;2021;;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;полностью
12725;9911;06.04.01/33.01;Фундаментальная биология и биотехнологии;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);СУОС;06.00.00 Биологические науки;'06.04.01';Биология;2019;Киселева Ирина Сергеевна;Погодина Наталия Валентиновна;да;2019, 2020, 2021;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;частично
9363;8797;06.04.01/07.02;Фундаментальная и прикладная биология;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;06.00.00 Биологические науки;'06.04.01';Биология;2015;Киселева Ирина Сергеевна;;нет;2017, 2018;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;да;нет;полностью
12727;9913;09.04.02/33.04;Геоинформационные системы;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);СУОС;09.00.00 Информатика и вычислительная техника;'09.04.02';Информационные системы и технологии;2019;Кузнецов Эдуард Дмитриевич;Островский Андрей Борисович;да;2019, 2020, 2021;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
12728;9914;21.04.03/33.01;Геоинформационные технологии в решении природноресурсных и экологических задач;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);СУОС;21.00.00 Прикладная геология, горное дело, нефтегазовое дело и геодезия;'21.04.03';Геодезия и дистанционное зондирование;2019;Кузнецов Эдуард Дмитриевич;Островский Андрей Борисович;да;2019, 2020;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
12851;10037;03.05.01/33.01;Астрономия;;Институт естественных наук и математики;Действующая до завершения срока освоения;Специалист;школы бакалавриата (школа);СУОС;03.00.00 Физика и астрономия;'03.05.01';Астрономия;2019;Кузнецов Эдуард Дмитриевич;Островский Андрей Борисович;да;2019, 2020, 2021;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
12715;9901;21.03.03/33.01;Геодезия и дистанционное зондирование;;Институт естественных наук и математики;Действующая до завершения срока освоения;Бакалавр;школы бакалавриата (школа);СУОС;21.00.00 Прикладная геология, горное дело, нефтегазовое дело и геодезия;'21.03.03';Геодезия и дистанционное зондирование;2019;Кузнецов Эдуард Дмитриевич;Островский Андрей Борисович;да;2019, 2020, 2021;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
12720;9906;03.04.02/33.02;Астрофизика и астрохимия;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);СУОС;03.00.00 Физика и астрономия;'03.04.02';Физика;2019;Кузнецов Эдуард Дмитриевич;Островский Андрей Борисович;да;2019;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
8834;8473;21.03.03/01.02;Геодезия и дистанционное зондирование;;Институт естественных наук и математики;Действующая до завершения срока освоения;Бакалавр;школы бакалавриата (школа);ФГОС ВО;21.00.00 Прикладная геология, горное дело, нефтегазовое дело и геодезия;'21.03.03';Геодезия и дистанционное зондирование;2014;Кузнецов Эдуард Дмитриевич;;да;2015, 2016, 2017, 2018;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;нет;нет;нет
8835;8474;09.04.02/01.02;Геоинформационные системы;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;09.00.00 Информатика и вычислительная техника;'09.04.02';Информационные системы и технологии;2014;Кузнецов Эдуард Дмитриевич;Аввакумова Екатерина Анатольевна;нет;2017, 2018;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;нет;нет;нет
8836;8475;21.04.03/01.02;Геоинформационные технологии в решении природноресурсных и экологических задач;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;21.00.00 Прикладная геология, горное дело, нефтегазовое дело и геодезия;'21.04.03';Геодезия и дистанционное зондирование;2014;Кузнецов Эдуард Дмитриевич;Островский Андрей Борисович;нет;2017, 2018;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;нет;нет;нет
8798;8452;03.04.02/01.02;Астрофизика. Физика космических излучений и космоса;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;03.00.00 Физика и астрономия;'03.04.02';Физика;2014;Кузнецов Эдуард Дмитриевич;Аввакумова Екатерина Анатольевна;нет;2017, 2018;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;нет;нет;частично
12593;9655;21.03.03/02.02;Геодезия и дистанционное зондирование;;Институт естественных наук и математики;Действующая до завершения срока освоения;Бакалавр;школы бакалавриата (школа);ФГОС ВО;21.00.00 Прикладная геология, горное дело, нефтегазовое дело и геодезия;'21.03.03';Геодезия и дистанционное зондирование;2018;Кузнецов Эдуард Дмитриевич;Островский Андрей Борисович;нет;2018;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;да;да;нет
8909;8523;09.03.02/01.02;Общий;;Институт естественных наук и математики;Действующая до завершения срока освоения;Бакалавр;школы бакалавриата (школа);ФГОС ВО;09.00.00 Информатика и вычислительная техника;'09.03.02';Информационные системы и технологии;2014;Кузнецов Эдуард Дмитриевич;;нет;2015;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;нет;нет;нет
11913;8983;03.05.01/01.02;Астрономия;;Институт естественных наук и математики;Действующая до завершения срока освоения;Специалист;школы бакалавриата (школа);ФГОС ВО;03.00.00 Физика и астрономия;'03.05.01';Астрономия;2014;Кузнецов Эдуард Дмитриевич;Островский Андрей Борисович;да;2014, 2015, 2016, 2017, 2018;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;нет;нет;нет
9049;8603;27.04.01/01.02;Метрологическое обеспечение научных исследований и производства наукоёмкой продукции;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;27.00.00 Управление в технических системах;'27.04.01';Стандартизация и метрология;2014;Васьковский Владимир Олегович;Степанова Елена Александровна;нет;2017, 2018;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;нет;нет;нет
12729;9915;27.04.01/33.01;Метрологическое обеспечение научных исследований и наукоёмких технологий;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);СУОС;27.00.00 Управление в технических системах;'27.04.01';Стандартизация и метрология;2019;Васьковский Владимир Олегович;Степанова Елена Александровна;да;2019, 2020, 2021;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
8992;8568;28.04.01/01.02;Материалы микро- и наносистемной техники;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;28.00.00 Нанотехнологии и наноматериалы;'28.04.01';Нанотехнологии и микросистемная техника;2014;Германенко Александр Викторович;Кандрина Юлия Александровна;нет;2017, 2018;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;нет;нет;нет
8839;8478;05.03.04/01.02;Гидрометеорология;;Институт естественных наук и математики;Действующая до завершения срока освоения;Бакалавр;школы бакалавриата (школа);ФГОС ВО;05.00.00 Науки о Земле;'05.03.04';Гидрометеорология;2014;Радченко Татьяна Александровна;;да;2015, 2016, 2017, 2018;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;нет;нет;нет
9400;8818;05.03.06/01.02;Экология и природопользование;;Институт естественных наук и математики;Действующая до завершения срока освоения;Бакалавр;школы бакалавриата (школа);ФГОС ВО;05.00.00 Науки о Земле;'05.03.06';Экология и природопользование;2014;Радченко Татьяна Александровна;;да;2015, 2016, 2017, 2018;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;нет;нет;нет
12712;9898;05.03.04/33.01;Гидрометеорология;;Институт естественных наук и математики;Действующая до завершения срока освоения;Бакалавр;школы бакалавриата (школа);СУОС;05.00.00 Науки о Земле;'05.03.04';Гидрометеорология;2019;Радченко Татьяна Александровна;;да;2019, 2020, 2021;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
12713;9899;05.03.06/33.01;Экология;;Институт естественных наук и математики;Действующая до завершения срока освоения;Бакалавр;школы бакалавриата (школа);СУОС;05.00.00 Науки о Земле;'05.03.06';Экология и природопользование;2019;Радченко Татьяна Александровна;;да;2019, 2020, 2021;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
13131;10316;30.05.01/22.01;Медицинская биохимия;;Институт естественных наук и математики;Действующая до завершения срока освоения;Специалист;школы бакалавриата (школа);ФГОС 3++;30.00.00 Фундаментальная медицина;'30.05.01';Медицинская биохимия;2021;Емельянов Виктор Владимирович;Клюева Юлия Николаевна;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
13132;10317;30.05.02/22.01;Медицинская биофизика;;Институт естественных наук и математики;Действующая до завершения срока освоения;Специалист;школы бакалавриата (школа);ФГОС 3++;30.00.00 Фундаментальная медицина;'30.05.02';Медицинская биофизика;2021;Емельянов Виктор Владимирович;Клюева Юлия Николаевна;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
11918;8988;30.05.01/01.02;Медицинская биохимия;;Институт естественных наук и математики;Действующая до завершения срока освоения;Специалист;школы бакалавриата (школа);ФГОС ВО;30.00.00 Фундаментальная медицина;'30.05.01';Медицинская биохимия;2015;Емельянов Виктор Владимирович;Клюева Юлия Николаевна;да;2015, 2016, 2017, 2018, 2019, 2020;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;нет;нет;нет
11955;9025;30.05.02/01.02;Медицинская биофизика;;Институт естественных наук и математики;Действующая до завершения срока освоения;Специалист;школы бакалавриата (школа);ФГОС ВО;30.00.00 Фундаментальная медицина;'30.05.02';Медицинская биофизика;2016;Емельянов Виктор Владимирович;Клюева Юлия Николаевна;да;2016, 2017, 2018, 2019, 2020;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;нет;нет;нет
12721;9907;03.04.02/33.01;Физика;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);СУОС;03.00.00 Физика и астрономия;'03.04.02';Физика;2019;Черняк Владимир Григорьевич;Вилисова Елена Анатольевна;да;2019, 2020, 2021;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
11849;8919;03.04.02/08.02;Физика;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;03.00.00 Физика и астрономия;'03.04.02';Физика;2016;Черняк Владимир Григорьевич;Вилисова Елена Анатольевна;нет;2017, 2018;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;нет;нет;нет
12730;9916;27.04.05/33.01;Управление исследованиями и разработками;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);СУОС;27.00.00 Управление в технических системах;'27.04.05';Инноватика;2019;Бабушкин Алексей Николаевич;Кандрина Юлия Александровна;да;2019, 2020, 2021;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
9315;8761;27.04.05/01.02;Управление исследованиями и разработками;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;27.00.00 Управление в технических системах;'27.04.05';Инноватика;2014;Бабушкин Алексей Николаевич;Кандрина Юлия Александровна;нет;2017, 2018;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;нет;нет;нет
9368;8800;02.03.02/01.02;Фундаментальная информатика и информационные технологии;;Институт естественных наук и математики;Действующая до завершения срока освоения;Бакалавр;школы бакалавриата (школа);ФГОС ВО;02.00.00 Компьютерные и информационные науки;'02.03.02';Фундаментальная информатика и информационные технологии;2014;Шур Арсений Михайлович;;да;2015, 2016, 2017, 2018;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;нет;нет;нет
12810;9996;02.04.02/33.02;Информатика и компьютерные науки;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);СУОС;02.00.00 Компьютерные и информационные науки;'02.04.02';Фундаментальная информатика и информационные технологии;2019;Шур Арсений Михайлович;Кобякова Надежда Николаевна;да;2019, 2020, 2021;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
8897;8515;02.04.02/01.02;Информатика и компьютерные науки;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;02.00.00 Компьютерные и информационные науки;'02.04.02';Фундаментальная информатика и информационные технологии;2014;Шур Арсений Михайлович;;нет;2017, 2018;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;нет;нет;нет
12800;9986;01.03.03/33.01;Механика и математическое моделирование;;Институт естественных наук и математики;Действующая до завершения срока освоения;Бакалавр;школы бакалавриата (школа);СУОС;01.00.00 Математика и механика;'01.03.03';Механика и математическое моделирование;2019;Осипов Сергей Иванович;Воронина Елена Владимировна;да;2019, 2020;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
9052;8605;01.03.03/01.02;Механика и математическое моделирование;;Институт естественных наук и математики;Действующая до завершения срока освоения;Бакалавр;школы бакалавриата (школа);ФГОС ВО;01.00.00 Математика и механика;'01.03.03';Механика и математическое моделирование;2014;Осипов Сергей Иванович;Воронина Елена Владимировна;да;2015, 2016, 2017, 2018;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;нет;нет;нет
9120;8648;09.03.03/01.02;Прикладная информатика;;Институт естественных наук и математики;Действующая до завершения срока освоения;Бакалавр;школы бакалавриата (школа);ФГОС ВО;09.00.00 Информатика и вычислительная техника;'09.03.03';Прикладная информатика;2014;Сеньчонок Татьяна Александровна;;да;2014, 2015, 2016;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;;нет;нет;нет
12801;9987;01.03.04/33.01;Прикладная математика;;Институт естественных наук и математики;Действующая до завершения срока освоения;Бакалавр;школы бакалавриата (школа);СУОС;01.00.00 Математика и механика;'01.03.04';Прикладная математика;2019;Гредасова Надежда Викторовна;;да;2019, 2020;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
12055;9117;01.03.04/01.02;Прикладная математика;;Институт естественных наук и математики;Действующая до завершения срока освоения;Бакалавр;школы бакалавриата (школа);ФГОС ВО;01.00.00 Математика и механика;'01.03.04';Прикладная математика;2018;Гредасова Надежда Викторовна;;да;2018;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;нет;нет;нет
12716;9902;27.03.01/33.01;Метрология и метрологическое обеспечение;;Институт естественных наук и математики;Действующая до завершения срока освоения;Бакалавр;школы бакалавриата (школа);СУОС;27.00.00 Управление в технических системах;'27.03.01';Стандартизация и метрология;2019;Степанова Елена Александровна;Куликова Татьяна Вячеславовна;да;2019, 2020, 2021;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
9229;8717;27.03.01/01.02;Метрология и метрологическое обеспечение;;Институт естественных наук и математики;Действующая до завершения срока освоения;Бакалавр;школы бакалавриата (школа);ФГОС ВО;27.00.00 Управление в технических системах;'27.03.01';Стандартизация и метрология;2014;Степанова Елена Александровна;;да;2015, 2016, 2017, 2018;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;нет;нет;нет
9166;8675;03.03.03/01.02;Радиофизика;;Институт естественных наук и математики;Действующая до завершения срока освоения;Бакалавр;школы бакалавриата (школа);ФГОС ВО;03.00.00 Физика и астрономия;'03.03.03';Радиофизика;2014;Вилисова Елена Анатольевна;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
9129;8650;09.04.03/01.02;Прикладная информатика в аналитической экономике;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;09.00.00 Информатика и вычислительная техника;'09.04.03';Прикладная информатика;2014;Коврижных Антон Юрьевич;Коврижных Антон Юрьевич;нет;2017, 2018;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;нет;нет;нет
12817;10003;09.04.03/33.05;Прикладная информатика в аналитической экономике;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);СУОС;09.00.00 Информатика и вычислительная техника;'09.04.03';Прикладная информатика;2019;Коврижных Антон Юрьевич;Коврижных Антон Юрьевич;да;2019, 2020;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
11871;8941;02.04.01/06.02;Системное программирование;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;02.00.00 Компьютерные и информационные науки;'02.04.01';Математика и компьютерные науки;2017;Созыкин Андрей Владимирович;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;полностью
12807;9993;02.04.01/33.02;Системное программирование;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);СУОС;02.00.00 Компьютерные и информационные науки;'02.04.01';Математика и компьютерные науки;2019;Созыкин Андрей Владимирович;;нет;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;полностью
8810;8460;06.03.01/01.02;Биология;;Институт естественных наук и математики;Действующая до завершения срока освоения;Бакалавр;школы бакалавриата (школа);ФГОС ВО;06.00.00 Биологические науки;'06.03.01';Биология;2014;Зимницкая Светлана Анатольевна;;да;2015, 2016, 2017, 2018;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;нет;нет;нет
12714;9900;06.03.01/33.01;Биология;;Институт естественных наук и математики;Действующая до завершения срока освоения;Бакалавр;школы бакалавриата (школа);СУОС;06.00.00 Биологические науки;'06.03.01';Биология;2019;Зимницкая Светлана Анатольевна;;да;2019, 2020, 2021;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
12723;9909;04.04.02/33.01;Химия и физика новых функциональных материалов;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);СУОС;04.00.00 Химия;'04.04.02';Химия, физика и механика материалов;2019;Зуев Андрей Юрьевич;Каймиева Ольга Сергеевна;да;2019, 2020, 2021;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
12056;9118;04.04.02/01.02;Химия и физика новых функциональных материалов;;Институт естественных наук и математики;Действующая до завершения срока освоения;Магистр;школа наук (школа);ФГОС ВО;04.00.00 Химия;'04.04.02';Химия, физика и механика материалов;2018;Зуев Андрей Юрьевич;Каймиева Ольга Сергеевна;нет;2018;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;нет;нет;нет
12022;9090;02.03.03/01.02;Математическое обеспечение и администрирование информационных систем;;Институт естественных наук и математики;Действующая до завершения срока освоения;Бакалавр;школы бакалавриата (школа);ФГОС ВО;02.00.00 Компьютерные и информационные науки;'02.03.03';Математическое обеспечение и администрирование информационных систем;2017;Перевалова Татьяна Владимировна;;да;2017, 2018;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;нет;нет;нет
12803;9989;02.03.03/33.01;Математическое обеспечение и администрирование информационных систем;;Институт естественных наук и математики;Действующая до завершения срока освоения;Бакалавр;школы бакалавриата (школа);СУОС;02.00.00 Компьютерные и информационные науки;'02.03.03';Математическое обеспечение и администрирование информационных систем;2019;Перевалова Татьяна Владимировна;;да;2019, 2020, 2021;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;нет;нет;нет
