title;authors;status;type;created;keywords;link
Оптимизация режимов резания при одноинструментной обработке с использованием ЭВМ;0;Авторская редакция;Печ.изд.;01.01.1985;"резание;режимы резания;одноинструментальная обработка;ЭВМ;технологические процессы машиностроения;автоматизация проектирования технологических процессов;методические пособия;методические указания;лабораторные работы;УПИ издания";https://study.urfu.ru/Aid/ViewMeta/2890
"Методические указания и контрольные задания к изучению курса ""Материаловедение и обработка конструкционых материалов""";0;Авторская редакция;Печ.изд.;01.01.1987;;https://study.urfu.ru/Aid/ViewMeta/2891
"Немецкий язык: тексты и упражнения по теме ""Институт и жизнь студента"" для студ. I-II курсов всех форм обуч. всех спец-тей";0;Авторская редакция;Печ.изд.;01.01.1989;;https://study.urfu.ru/Aid/ViewMeta/2892
Физика: метод. указ. к анализу и решению задач для студ. вечернего и заоч. обуч. всех спец. (Оптика, квантовая механика и атомное ядро);0;Авторская редакция;Печ.изд.;01.01.1987;;https://study.urfu.ru/Aid/ViewMeta/2893
Проектирование технологии групповой обработки на токарно-револьверных станках: метод. указ. к курсовому и димл. проектированию для студ.  всех форм обуч. спец.: 12.01, 12.02;0;Авторская редакция;Печ.изд.;01.01.1994;;https://study.urfu.ru/Aid/ViewMeta/2894
Непролетарские партии в России: программные требования, борьба за массы, результаты деятельности;0;Авторская редакция;Печ.изд.;01.01.1990;"УГТУ издания;методические указания;методические пособия;непролетарские партии;партии;политика;политические партии;политическая история";https://study.urfu.ru/Aid/ViewMeta/2895
Детали машин;0;Авторская редакция;Печ.изд.;01.01.2006;"методические указания;детали машин;проектирование деталей машин;разьемные соединения;допуски;посадки;муфты;уплотнения;трубопроводы;арматура;механические передачи;УГТУ издания;методические пособия";https://study.urfu.ru/Aid/ViewMeta/2896
"Исследование метеорологических условий в производственных помещениях: метод. указ. к лаб. ра. N 6 по курсу ""Безопасность жизнедеятельности"" для студ. всех форм обуч. всех спец.";0;Авторская редакция;Печ.изд.;01.01.1991;;https://study.urfu.ru/Aid/ViewMeta/2897
"Характеристики и параметры диодных оптопар: метод. указ. к лаб. практикуму по курсам: ""Электроника и микросхемотехника"" и ""Элементы и схемы вычислительных систем"" для студ. всех форм обуч. спец. 21.01, 2202";0;Авторская редакция;Печ.изд.;01.01.1992;;https://study.urfu.ru/Aid/ViewMeta/2898
Технология изготовления и испытания электромагнитных устройств и электромеханических преобразователей;0;Авторская редакция;Печ.изд.;01.01.2005;"электрические машины;производство электрических машин;испытания электрических машин;электромагнитные устройства;электромеханические преобразователи;трансформаторы;электротехника;УГТУ издания";https://study.urfu.ru/Aid/ViewMeta/2899
Рентгеноанализ твердых растворов;0;Авторская редакция;Печ.изд.;01.01.1982;"методические пособия;УПИ издания;рентгеноанализ;химия;твердые растворы;рентгенография металлов";https://study.urfu.ru/Aid/ViewMeta/2900
Методические указания к решению задач и выполнению контрольных заданий по аварийно-спасательным работам;0;Авторская редакция;Печ.изд.;01.01.2001;"пожаротушение;пожары;аварийно-спасательные работы;техника тушения пожаров;методические пособия;методические указания";https://study.urfu.ru/Aid/ViewMeta/2901
Энергосбережение;0;Авторская редакция;Печ.изд.;01.01.2003;"энергосбережение;дипломное проетикрование;методические указания;методические пособия;УГТУ издания";https://study.urfu.ru/Aid/ViewMeta/2902
Определение постоянной Планка спектроскопическим методом;0;Авторская редакция;Печ.изд.;01.01.2005;"физика;оптика;теория света;спекроскопия;методические пособия;постоянная Планка;натрий;методические указания;УГТУ издания";https://study.urfu.ru/Aid/ViewMeta/2903
Исследование статистических закономерностей альфа-распада радиоактивного изотопа плутония. Проверка соответствия теоретической функции распределения опытным данным. Критерий соответствия Пирсона;0;Авторская редакция;Печ.изд.;01.01.2005;"физика;атомная физика;альфа-распад;альфа-частицы;изотопы плутония;плутоний;методические пособия;методические указания;УГТУ издания";https://study.urfu.ru/Aid/ViewMeta/2904
Переходные процессы в линейных электрических цепях с сосредоточенными параметрами;0;Авторская редакция;Печ.изд.;01.01.1992;"электрические цепи;магнитные электрические цепи;переходные процессы;методические указания;УПИ издания;методические пособия";https://study.urfu.ru/Aid/ViewMeta/2905
Организация, планирование и управление машиностроительным предприятием;0;Авторская редакция;Печ.изд.;01.01.1987;"машиностроение;экономика машиностроения;машиностроительная промышленность;организация предприятий;планирование предприятий;управление предприятием;машиностроительные предприятия;методические пособия;методические указания;контрольные работы;УПИ издания";https://study.urfu.ru/Aid/ViewMeta/2906
Оформление дипломных и курсовых проектов (работ);0;Авторская редакция;Печ.изд.;01.01.1996;"машиностроение;экономика;курсовое проектирование;дипломное проектирование;УПИ издания;методические пособия;методические указания";https://study.urfu.ru/Aid/ViewMeta/2907
Изучение ослабления гамма- излучения веществом;0;Авторская редакция;Печ.изд.;01.01.1997;"гамма-излучение;методические указания;УГТУ издания;лабораторные работы;методические пособия";https://study.urfu.ru/Aid/ViewMeta/2908
Корреляционно-регрессионный анализ экономических показателей;0;Авторская редакция;Печ.изд.;01.01.1985;"методические пособия;контрольные работы;регрессионный анализ;корреляционный анализ;УПИ издания;математическое моделирование;экономические показатели;экономика промышленности;экономика машиностроения;производственные системы;анализ экономических показателей";https://study.urfu.ru/Aid/ViewMeta/2909
Определенный интеграл;0;Авторская редакция;Печ.изд.;01.01.2000;"математика;интегралы;определенные интегралы;методические пособия;задачи;решение задач;методические указания;методические пособия;УГТУ издания";https://study.urfu.ru/Aid/ViewMeta/2910
Электронные приборы СВЧ и квантовые приборы;0;Авторская редакция;Печ.изд.;01.01.1991;"электронные приборы СВЧ;СВЧ;приборы СВЧ;квантовые приборы;методические пособия;методические указания;лабораторные работы;УПИ издания";https://study.urfu.ru/Aid/ViewMeta/2911
Исследование эффекта Холла в металлах и полупроводниках: руководство к лаб. раб. N  по физике для студ. всех видов обуч. всех спец-тей;0;Авторская редакция;Печ.изд.;01.01.1982;;https://study.urfu.ru/Aid/ViewMeta/2912
Импульсные и цифровые устройства;0;Авторская редакция;Печ.изд.;01.01.1989;"импульсные устройства;цифровые устройства;триггерные устройства;цифровые автоматы;автоматика;триггеры;цифровые автоматические системы;методические пособия;методические указания;контрольные задания;УПИ издания";https://study.urfu.ru/Aid/ViewMeta/2913
Теория механизмов, детали машин и загрузочно-транспортные устройства: рабочая программа и метод. указ. к выполнению контр. и лаб. работ и курсового проекта, к сдаче зачета и экзамена для студ. заоч. обуч. в сокращенные сроки спец. 0501 - Технология м;0;Авторская редакция;Печ.изд.;01.01.1988;;https://study.urfu.ru/Aid/ViewMeta/2914
Элементная база радиоэлектронной аппаратуры;0;Авторская редакция;Печ.изд.;01.01.1996;"радиоэлектронная аппаратура;элементная база;РЭА;радиотехника;электроника;методические пособия;методические указания;контрольные задания;УГТУ издания";https://study.urfu.ru/Aid/ViewMeta/2915
Исследование a-распада радиактивного изотопа плутония: метод. указ. к лаб. раб. 40 по физике для студ. всех спец-тей очного и заоч. обучения;0;Авторская редакция;Печ.изд.;01.01.1984;;https://study.urfu.ru/Aid/ViewMeta/2916
"Исследование дифференциального усилительного каскада: метод. указ. к лаб. раб. N 5 по курсам: ""теория и техника аналоговой обработки сигналов"", ""Аналоговые электронные устройства"" и ""Усилительные устройства""";0;Авторская редакция;Печ.изд.;01.01.1991;;https://study.urfu.ru/Aid/ViewMeta/2917
