title;authors;status;type;created;keywords;link
Цифровая сотовая система подвижной радиосвязи стандарта GSM;Бурнев В.Б.;ЭОР УрФУ;ЭИ;10.01.2005;"GSM;связь;телефон;сотовая";https://study.urfu.ru/Aid/ViewMeta/2
Пособие практиканта по физической культуре;"Еркомайшвили И.В.;Жукова О.Л.";ЭОР УрФУ;ЭИ;10.02.2005;"педагогическая практика;производственная практика;учебно-воспитательная работа;внеклассная работа;оздоровительный центр;загородный лагерь;отчетная документация";https://study.urfu.ru/Aid/ViewMeta/15
Комплект электронных материалов для обеспечения самостоятельной работы студентов по дисциплине «Теория и методика физической культуры»;Еркомайшвили И.В.;ЭОР УрФУ;ЭИ;11.02.2005;"Физическая культура;совершенство;развитие;физические упражнения;скорость;сила;выносливость;гибкость";https://study.urfu.ru/Aid/ViewMeta/17
Комплект электронных материалов для обеспечения самостоятельной работы студентов по дисциплине «Подвижные игры»;"Еркомайшвили И.В.;Мехович Г.И.";ЭОР УрФУ;ЭИ;11.02.2005;"физическая культура;подвижные игры;игровые упражнения;эстафета;водящий;судья";https://study.urfu.ru/Aid/ViewMeta/19
Комплект электронных материалов для обеспечения самостоятельной работы по дисциплине «Педагогическая практика»;"Еркомайшвили И.В.;Жукова О.Л.";ЭОР УрФУ;ЭИ;12.02.2005;"Физическая культура;физическое воспитание;педагогическая практика;урок;внеклассная работа";https://study.urfu.ru/Aid/ViewMeta/20
Проблемы развития двигательных способностей у школьников;Еркомайшвили И.В.;ЭОР УрФУ;ЭИ;02.03.2005;"двигательные способности;выносливость;сила;быстрота;координационные способности;гибкость;герехронность;сверхвосстановление";https://study.urfu.ru/Aid/ViewMeta/22
Спортивное ориентирование;"Дьяков А.С.;Яговкин А.Ю.";ЭОР УрФУ;ЭИ;02.03.2005;"спортивное ориентирование;ориентирование;спорт;физическая культура;соревнования;компас;карта;азимут;тренировка;топография";https://study.urfu.ru/Aid/ViewMeta/23
Дифракционные методы анализа;"Архангельская А.А.;Фарбер В.М.";ЭОР УрФУ;ЭИ;02.03.2005;"Кристалл;кристаллическая структура;решетка;дифракция;плоскость;симметрия";https://study.urfu.ru/Aid/ViewMeta/24
Основы альпинизма и скалолазания;Лебедихин А.В.;ЭОР УрФУ;ЭИ;02.03.2005;"альпинизм;скалолазание;безопасность;снаряжение;горный рельеф;опасность;история;соревнования;правила";https://study.urfu.ru/Aid/ViewMeta/25
Техника спортивного плавания;Мухтарова Т.Л.;ЭОР УрФУ;ЭИ;02.03.2005;"техника спортивного плавания;биомеханика;закономерности плавания;помощь тонущему;техника прикладного плавания";https://study.urfu.ru/Aid/ViewMeta/26
Диагностика психофизического и физического здоровья школьников;"Бароненко В.А.;Рапопорт Л.А.";ЭОР УрФУ;ЭИ;03.03.2005;"методы;анкеты;тесты;гигиеническая оценка;диагностика";https://study.urfu.ru/Aid/ViewMeta/28
Культура здоровья студента;"Бароненко В.А.;Рапопорт Л.А.";ЭОР УрФУ;ЭИ;03.03.2005;"Здоровье;здоровый образ жизни;двигательная активность;эмоциональное благополучие;стресс;вредные привычки";https://study.urfu.ru/Aid/ViewMeta/29
Здоровье и физическая культура студента;"Бароненко В.А.;Рапопорт Л.А.";ЭОР УрФУ;ЭИ;03.03.2005;"Здоровье;здоровый образ жизни;физическая культура;культура питания;сексуальная культура;вредные привычки;стресс";https://study.urfu.ru/Aid/ViewMeta/30
Гимнастика 1 часть;Лебедихина Т.М.;ЭОР УрФУ;ЭИ;03.03.2005;"оздоровительные;образовательные;воспитательные;классификация;средства;история;инвентарь;термин;ОРУ;методы";https://study.urfu.ru/Aid/ViewMeta/31
Гимнастика 2 часть;Лебедихина Т.М.;ЭОР УрФУ;ЭИ;03.03.2005;"урок;преподаватель;информирование;конспект;плотность;календарь;организация;этапы;судейство;документация";https://study.urfu.ru/Aid/ViewMeta/32
Гимнастика 3 часть;Лебедихина Т.М.;ЭОР УрФУ;ЭИ;03.03.2005;"техника;уступающий;преодолевающий;структура;принципы;возраст;периодизация;нагрузка;пульс;регулирование;сценарий";https://study.urfu.ru/Aid/ViewMeta/33
"Подготовка демонстратора одежды на базе элективного курса ""Грация""";Лебедихина Т.М.;ЭОР УрФУ;ЭИ;03.03.2005;"мода;стиль;демонстратор;подиум;хореография;аэробика;программа;структура;пульс;нагрузка";https://study.urfu.ru/Aid/ViewMeta/34
Акмеология физической культуры и спорта;Жукова О.Л.;ЭОР УрФУ;ЭИ;04.03.2005;"Акмеология;профессиональное становление;спортивный педагог;профессиональная этика;педагогическое мастерство;профессионально-педагогическая культура;самовоспитание;диагностика;самооценка";https://study.urfu.ru/Aid/ViewMeta/36
Легкая атлетика;"Воробьев Л.П.;Воробьева В.М.";ЭОР УрФУ;ЭИ;04.03.2005;"легкая атлетика;виды легкой атлетики;методика тренировки";https://study.urfu.ru/Aid/ViewMeta/37
Спортивная ходьба, бег;"Воробьев Л.П.;Воробьева В.М.";ЭОР УрФУ;ЭИ;04.03.2005;"спортивная ходьба;бег;техника и методика тренировки";https://study.urfu.ru/Aid/ViewMeta/38
Модули психологической структуры;Полозов А.А.;ЭОР УрФУ;ЭИ;04.03.2005;"типы личности;типы характера;типы интеллекта;типы мышления;физиогномика;жесты;мотивация;типология стилей руководства";https://study.urfu.ru/Aid/ViewMeta/39
"Электронный учебник с тестированием по дисциплине ""Управление и информатика в экологии и энергосбережении""";"Дружинина О.Г.;Лисиенко В.Г.";ЭОР УрФУ;ЭИ;04.03.2005;"Управление;информатика;технические системы";https://study.urfu.ru/Aid/ViewMeta/40
"Учебное электронное издание по дисциплине ""Моделирование систем""";Дружинина О.Г.;ЭОР УрФУ;ЭИ;06.03.2005;"моделирование систем;машинный эксперимент с моделью;обработка результатов исследований;инструментальные стредства иммитационного моделирования";https://study.urfu.ru/Aid/ViewMeta/41
"Автоматизированный контроль знаний и тестирование по дисциплине ""Моделирование систем""";Дружинина О.Г.;ЭОР УрФУ;ЭИ;06.03.2005;Моделирование систем;https://study.urfu.ru/Aid/ViewMeta/42
"Комплект методических материалов по курсу ""Структуры данных""";Спиричева Н.Р.;ЭОР УрФУ;ЭИ;14.03.2005;"алгоритм;тип данных;модель данных;статическая структура данных;динамические структуры данных;сортировка;поиск;граф;дерево;пуль в графе";https://study.urfu.ru/Aid/ViewMeta/44
"Комплект метод материалов по курсу ""Технологии программирования""";Спиричева Н.Р.;ЭОР УрФУ;ЭИ;14.03.2005;"компонент;палитра визуальных компонентов;класс;объект;форма;главное меню;стиль;визуальное программирование;объектно-ориентированное программирование;иерархия;инструментальная линейка;строка состояния;стандартные диалоги;многоформенные приложения;модальная форма;MDI-приложение;компонент;свойства;методы;события;база данных;отладчик;логические ошибки;синтаксические ошибки;прерывание;машинный код;ассемблер;интерфейс;сопровождение;CASE-технология;тестирование;проект;фо";https://study.urfu.ru/Aid/ViewMeta/45
Система сотовой связи DAMPS;Бурнев В.Б.;ЭОР УрФУ;ЭИ;14.03.2005;"системы сотовой связи;сота;эфирных интерфейс;разделение каналов";https://study.urfu.ru/Aid/ViewMeta/46
Электронное методическое пособие по изучению стандарта системы сотовой связи IS-95c (CDMA-2000 1x);Бурнев В.Б.;ЭОР УрФУ;ЭИ;14.03.2005;"системы сотовой связи;сеть;эфирный интерфейс;роуминг;разделение каналов;идентификация;аутентификация";https://study.urfu.ru/Aid/ViewMeta/47
Система сотовой связи с кодовым разделением каналов стандарта CDMA 2000. (Электронный учебник);Бурнев В.Б.;ЭОР УрФУ;ЭИ;14.03.2005;"системы сотовой связи;сота;эфирных интерфейс;разделение каналов";https://study.urfu.ru/Aid/ViewMeta/49
Электронный учебник по системе сотовой связи с временным разделением каналов стандарта GSM;Бурнев В.Б.;ЭОР УрФУ;ЭИ;14.03.2005;"системы сотовой связи;эфирный интерфейс;разделение каналов;идентификация;аутентификация";https://study.urfu.ru/Aid/ViewMeta/50
ИНФОРМАЦИОННЫЕ СИСТЕМЫ В МЕТАЛЛУРГИИ: Конспект лекций (отдельные главы из учебника для вузов);"Лавров В.В.;Спирин Н.А.";ЭОР УрФУ;ЭИ;14.03.2005;"Автоматизированная информационная система; автоматизированная система управления; база данных; информационная технология; компьютерная сеть; промышленная сеть; реляционная модель данных; модельная система поддержки принятия решения; система управления базами данных; экспертная система";https://study.urfu.ru/Aid/ViewMeta/51
МЕТОДЫ ПЛАНИРОВАНИЯ И ОБРАБОТКИ РЕЗУЛЬТАТОВ ИНЖЕНЕРНОГО ЭКСПЕРИМЕНТА: Конспект лекций (отдельные главы из учебника для вузов);"Лавров В.В.;Спирин Н.А.";ЭОР УрФУ;ЭИ;14.03.2005;"промышленный эксперимент; вероятность события; регрессионный анализ; гипотеза; закон распределения; уровень значимости; случайная величина; статистические критерии; доверительный интервал; среднеквадратичное отклонение";https://study.urfu.ru/Aid/ViewMeta/52
Автоматизированное проектирование радиоэлектронных средств;Кийко В.В.;ЭОР УрФУ;ЭИ;14.03.2005;"автоматизированное проектирование;радиоэлектронные средства;схемотехническое моделирование;математические модели;методы формирования";https://study.urfu.ru/Aid/ViewMeta/53
Отечественная история;Лебедев В.Э.;ЭОР УрФУ;ЭИ;14.03.2005;;https://study.urfu.ru/Aid/ViewMeta/54
Операционная система Windows 2000 часть 1.;Зверева О.М.;ЭОР УрФУ;ЭИ;15.03.2005;"Windows 2000;загрузка;загрузчик;драйвер;Plug and Play;консоль восстановления;диск аварийного восстановления;архивация;системный реестр;параметр";https://study.urfu.ru/Aid/ViewMeta/55
Операционная система Windows 2000 часть 2;Зверева О.М.;ЭОР УрФУ;ЭИ;15.03.2005;"Windows 2000;консоль управления;пользователь;группа;профиль;сценарий регистрации;аудит;""Общие папки"";сетевой диск;шифрование";https://study.urfu.ru/Aid/ViewMeta/56
Операционная система Windows 2000 часть 3;Зверева О.М.;ЭОР УрФУ;ЭИ;15.03.2005;"Windows 2000;Диспетчер задач;Просмотр событий;Системный монитор;оповещения и журналы производимости;домен;Доверительные отношения;Групповая политика;Шаблоны безопасности;Анализ и настройка безопасности";https://study.urfu.ru/Aid/ViewMeta/57
"Лабораторный практикум  по дисциплине ""Операционные системы""";Зверева О.М.;ЭОР УрФУ;ЭИ;15.03.2005;"Windows 2000;профиль;командная строка;файловая система;NTFS;""Диспетчер задач"";""Просмотр событий"";""Системный монитор"";""Локальные параметры безопасности"";редактор системного реестра";https://study.urfu.ru/Aid/ViewMeta/58
"Контрольные вопросы для проверки знаний пор дисциплине ""Операционные системы""";Зверева О.М.;ЭОР УрФУ;ЭИ;15.03.2005;"операционная система;процесс;поток;прерывание;оперативная память;кэширование;политика безопасности;MFT;отказоустоичивость;восстанавливаемость";https://study.urfu.ru/Aid/ViewMeta/60
"Рабочая программа по дисциплине ""Операционные системы""";Зверева О.М.;ЭОР УрФУ;ЭИ;15.03.2005;"Операционная система;рабочая программа;лабораторная работа;задачи дисциплины;самостоятельная работа;список литературы";https://study.urfu.ru/Aid/ViewMeta/61
Учебно-методический комплекс по методам компьютерного проектирования элементов техники ВЧ и СВЧ;Шабунин С.Н.;ЭОР УрФУ;ЭИ;15.03.2005;"Компьютерное моделирование;проектирование;техника высоких и сверхвысоких частот;антенн;линии передач";https://study.urfu.ru/Aid/ViewMeta/62
"Учебное электронное издание по дисциплине ""Моделирование систем""";Дружинина О.Г.;ЭОР УрФУ;ЭИ;17.03.2005;"моделирование систем;машинный эксперимент с моделью;обработка результатов исследований;инструментальные стредства иммитационного моделирования";https://study.urfu.ru/Aid/ViewMeta/63
История России: теории изучения;Личман Б.В.;ЭОР УрФУ;ЭИ;17.03.2005;история;https://study.urfu.ru/Aid/ViewMeta/64
Учебно-методический комплекс по распространению радиоволн, теории электромагнитных полей и устройствах на их основе;Соловьянова И.П.;ЭОР УрФУ;ЭИ;22.03.2005;"электромагнитное поле;распространение радиоволн;волноводы;резонаторы";https://study.urfu.ru/Aid/ViewMeta/66
Учебно-методический комплекс по теории и технике электромагнитного поля;Шабунин С.Н.;ЭОР УрФУ;ЭИ;22.03.2005;"электромагнитное поле;волноводы;резонаторы;техника СВЧ;компьютерное моделирование";https://study.urfu.ru/Aid/ViewMeta/67
Учебно-методический комплекс по изучению акустических волн и устройств на их основе;Шабунин С.Н.;ЭОР УрФУ;ЭИ;22.03.2005;"колебания;волны;акустические волны;распространение волн;отражение и преломление волн;затухание и излучение";https://study.urfu.ru/Aid/ViewMeta/68
Учебно-методический комплекс по теории и технике организации подвижной радиосвязи;Шабунин С.Н.;ЭОР УрФУ;ЭИ;22.03.2005;"Подвижная связь;сотовая связь;распространение радиоволн;электромагнитное поле";https://study.urfu.ru/Aid/ViewMeta/69
Курсовое проектирование понизительной подстанции;Котов О.М.;ЭОР УрФУ;ЭИ;30.03.2005;"электроэнергетическая система;понизительная подстанция;силовое оборудование подстанции высокого напряжения;график нагрузки;силовой трансформатор;нормальный и аварийный режимы;недоотпуск электроэнергии;токи короткого замыкания;главная схема;конструктивное исполнение";https://study.urfu.ru/Aid/ViewMeta/70
Введение в машинно-ориентированное программирование;Котов О.М.;ЭОР УрФУ;ЭИ;30.03.2005;"цифровая информация;процессор;регистры;команды;операнды;адреса памяти;устройства памяти;периферийные устройства;порты ввода-вывода;режимы адресации;отладчик;инструментальная система";https://study.urfu.ru/Aid/ViewMeta/71
Информатика;Котов О.М.;ЭОР УрФУ;ЭИ;30.03.2005;"информация;цифровой сигнал;разрешенные уровни;кодирование;форматы данных;центральные устройства;устройства ввода-вывода;RAM-память;ROM-память;прерывания;прямой доступ к памяти;кэширование;конвейеризация";https://study.urfu.ru/Aid/ViewMeta/72
Программирование на языке Си в инструментальной среде Builder;Котов О.М.;ЭОР УрФУ;ЭИ;30.03.2005;"процедурное программирование;инструментальная среда;меню-система;проект-файл;исходный код;инспектор оюъектов;библиотечные функции;обработка числовой информации;отладка программы;окно просмотра;пошаговый режим.";https://study.urfu.ru/Aid/ViewMeta/73
Программирование на языке Си++ в инструментальной среде Builder;Котов О.М.;ЭОР УрФУ;ЭИ;30.03.2005;"RAD-технология;компоненты;форма;события;свойства;наследование;динамическая очередь;графические примитивы;канва для рисования;экземпляр класса;обработчик события";https://study.urfu.ru/Aid/ViewMeta/74
Технология проектной деятельности;0;ЭОР УрФУ;ЭИ;31.03.2005;"проект;технология;внедрение;менеджмент;социальный;управлдение проектами";https://study.urfu.ru/Aid/ViewMeta/75
Введение в специальность;Дукмасова Н.В.;ЭОР УрФУ;ЭИ;31.03.2005;"учебный план;история;специальности;кафедра;факультет";https://study.urfu.ru/Aid/ViewMeta/76
Электронный справочник полупроводниковых приборов;Кийко В.В.;ЭОР УрФУ;ЭИ;31.03.2005;"автоматизированное проектирование;базы данных;spise-параметры;предельноэксплуатационные параметры;вольт-амперные характеристики";https://study.urfu.ru/Aid/ViewMeta/77
Основы практической грамотности;Климова О.В.;ЭОР УрФУ;ЭИ;31.03.2005;"культура речи;риторика;виды норм;литературный язык;национальный язык;функциональный стиль;качества хорошей речи;деловой этикет;спор";https://study.urfu.ru/Aid/ViewMeta/78
"Комплекс программ АНАЛИЗ для выполнения лабораторных и практических работ по курсу ""Компьютерный анализ электронных схем""";Трухин М.П.;ЭОР УрФУ;ЭИ;31.03.2005;"электронные схемы;компьютерный анализ;метод переменных состояния;схемотехническое моделирование;лабораторный цикл";https://study.urfu.ru/Aid/ViewMeta/79
«Проектирование баз данных»;Парфенов Ю.П.;ЭОР УрФУ;ЭИ;08.04.2005;"базы данных;проектирование;схема данных;CASE средства;ER диаграмма;технология ADO;DELPHI;клиент-серверное приложение";https://study.urfu.ru/Aid/ViewMeta/80
Информатика;Киселева М.В.;ЭОР УрФУ;ЭИ;09.04.2005;"Информатика;информация;система счисления;формы представления чисел;программный продукт;алгоритм;программное обеспечение;архитектура ПК;локальная сеть;Интернет";https://study.urfu.ru/Aid/ViewMeta/81
Среда Windows и пакет Microsoft Word;Киселева М.В.;ЭОР УрФУ;ЭИ;09.04.2005;"Windows;Word;форматирование текста;рисунки;таблицы;формулы;стили;блок-схема";https://study.urfu.ru/Aid/ViewMeta/82
Пакет Microsoft Excel;Киселева М.В.;ЭОР УрФУ;ЭИ;09.04.2005;"Excel;таблицы;формулы;функции;автозаполнение;форматирование;графики;диаграммы.";https://study.urfu.ru/Aid/ViewMeta/83
Использование  MS SQL Server в информационных системах»;Парфенов Ю.П.;ЭОР УрФУ;ЭИ;09.04.2005;"MS SQL Server;базы данных;таблицы;ограничения целостности;технология ADO;DELPHI;клиент-серверные приложения";https://study.urfu.ru/Aid/ViewMeta/84
Работа в  СУБД Ассеss и Visual FoxPro;Парфенов Ю.П.;ЭОР УрФУ;ЭИ;09.04.2005;"Access;Visual FoxPro;базы данных;таблицы;отношения;нормализация;ограничения целостности;приложения";https://study.urfu.ru/Aid/ViewMeta/85
Методические указания к лабораторному практикуму по курсу «Программирование на языке высокого уровня». Язык С++;Зверева О.М.;ЭОР УрФУ;ЭИ;09.04.2005;"С++;лабораторная работа;указатель;массив;структура;функция;список";https://study.urfu.ru/Aid/ViewMeta/86
Конспект лекций по курсу «Программирование на языке высокого уровня». Язык Паскаль;Зверева О.М.;ЭОР УрФУ;ЭИ;09.04.2005;"Паскаль;препроцессор;оператор;функция;цикл;операция;адрес;указатель";https://study.urfu.ru/Aid/ViewMeta/87
Имитационное моделирование систем в среде ARIS Toolset;Клебанов Б.И.;ЭОР УрФУ;ЭИ;09.04.2005;"модель;проектирование;ARIS;процесс;UML;ОПП";https://study.urfu.ru/Aid/ViewMeta/88
CASE-средства BPwin, Erwin;Клебанов Б.И.;ЭОР УрФУ;ЭИ;09.04.2005;"CASE;BPwin;ERwin;IDEF0;IDEF3;DFD;функциональная модель процесса;структура базы данных;проектирование.";https://study.urfu.ru/Aid/ViewMeta/89
Комплекс лабораторных работ по проектированию в среде Rational Rose;Клебанов Б.И.;ЭОР УрФУ;ЭИ;09.04.2005;"модель;проектирование;UML;ОПП";https://study.urfu.ru/Aid/ViewMeta/90
Методические указания к выполнению курсового проекта по дисциплине «Проектирование автоматизированных систем обработки информации и управления»;Клебанов Б.И.;ЭОР УрФУ;ЭИ;09.04.2005;"BPwin;Erwin";https://study.urfu.ru/Aid/ViewMeta/91
Программы CorelDraw и Photoshop;Казанцева Л.Н.;ЭОР УрФУ;ЭИ;09.04.2005;"Photoshop;CorelDraw;инструмент;изображение;объект;цветовая модель;цветовой круг;палитра;докерное окно";https://study.urfu.ru/Aid/ViewMeta/92
Программа векторной графики CorelDraw;Казанцева Л.Н.;ЭОР УрФУ;ЭИ;09.04.2005;"CorelDraw;инструмент;изображение;объект";https://study.urfu.ru/Aid/ViewMeta/93
ТЕПЛОСНАБЖЕНИЕ: Задания и методические указания по вы-полнению курсовой работы, курсового проекта и практических занятий;"Маляр Е.А.;Михайлишин Е.В.;Толстова Ю.И.";ЭОР УрФУ;ЭИ;11.04.2005;"теплоснабжение;гидравлический режим;регулирование;тепловая нагрузка;статический режим;динамический режим";https://study.urfu.ru/Aid/ViewMeta/94
Хрестоматия по Экологии;Шолина И.И.;ЭОР УрФУ;ЭИ;11.04.2005;;https://study.urfu.ru/Aid/ViewMeta/95
"Задания к лабораторному практикуму по дисциплине ""Информатика"" (2 семестр)";Карасик А.А.;ЭОР УрФУ;ЭИ;15.04.2005;"программирование;лабораторная;алгоритм";https://study.urfu.ru/Aid/ViewMeta/96
РАСЧЕТ ТЕПЛОЗАЩИТЫ ЗДАНИЙ;"Толстова Ю.И.;Шумилов Р.Н.";ЭОР УрФУ;ЭИ;18.04.2005;"требуемое сопротивление теплопередаче наружных ограждений;воздухопроницание;влажностный режим;инфильтрация";https://study.urfu.ru/Aid/ViewMeta/97
ЭНЕРГОЭФФЕКТИВНЫЕ   СИСТЕМЫ   ОТОПЛЕНИЯ;"Наумейко А.В.;Толстова Ю.И.;Шумилов Р.Н.";ЭОР УрФУ;ЭИ;18.04.2005;"энергоэффективные системы;газовые водонагреватели;воздухонагреватели;технические характеристики;альтернативные энергоносители;инфракрасные излучатели";https://study.urfu.ru/Aid/ViewMeta/98
Программа растровой графики Photoshop;Казанцева Л.Н.;ЭОР УрФУ;ЭИ;20.04.2005;"Photoshop;инструмент;изображение;объект;цветовая модель;цветовой круг;растрирование";https://study.urfu.ru/Aid/ViewMeta/99
Выбор главных размеров трансформатора;"Проскуряков В.С.;Соболев С.В.;Удинцев В.Н.;Юрченко М.В.";ЭОР УрФУ;ЭИ;12.05.2005;"Проектирование трехфазного двухобмоточного трансформатора;курсовое проект;главные размеры";https://study.urfu.ru/Aid/ViewMeta/103
Источники вторичного электропитания;"Проскуряков В.С.;Удинцев В.Н.";ЭОР УрФУ;ЭИ;12.05.2005;"источники вторичного электропитания;функциональные схемы;параметры";https://study.urfu.ru/Aid/ViewMeta/104
Проектирование обмотофк трансформатора;"Проскуряков В.С.;Соболев С.В.;Удинцев В.Н.;Юрченко М.В.";ЭОР УрФУ;ЭИ;12.05.2005;"проектирование трехфазного двухобмоточного трансформатора;курсовой проект;размеры обмоток;параметры короткого замыкания";https://study.urfu.ru/Aid/ViewMeta/105
ГОСТ 7.12-93;0;ЭОР УрФУ;ЭИ;28.06.2005;"сокращения;библиография;издания;редактирование;корректура";https://study.urfu.ru/Aid/ViewMeta/108
Концепции современного естествознания;"Бастриков В.В.;Егоров Ю.В.";ЭОР УрФУ;ЭИ;13.09.2005;"естествознание;КСЕ;концепция;концепции";https://study.urfu.ru/Aid/ViewMeta/119
Лабораторные работы по промышленной экологии;Белоусова О.А.;ЭОР УрФУ;ЭИ;15.09.2005;;https://study.urfu.ru/Aid/ViewMeta/121
Концепции современного естествознания;Павлович О.Н.;ЭОР УрФУ;ЭИ;15.09.2005;;https://study.urfu.ru/Aid/ViewMeta/122
Основы технологических производственных процессов;Павлович О.Н.;ЭОР УрФУ;ЭИ;15.09.2005;;https://study.urfu.ru/Aid/ViewMeta/123
Пособие для самостоятельной работы по дисциплине Химическая технология топлива;Павлович О.Н.;ЭОР УрФУ;ЭИ;15.09.2005;;https://study.urfu.ru/Aid/ViewMeta/124
ТЕОРИЯ ВОЛНОВЫХ ПРОЦЕССОВ;Соловьянова И.П.;ЭОР УрФУ;ЭИ;27.09.2005;;https://study.urfu.ru/Aid/ViewMeta/128
Экология;Шолина И.И.;ЭОР УрФУ;ЭИ;27.09.2005;;https://study.urfu.ru/Aid/ViewMeta/129
КРАТКИЙ ТЕРМИНОЛОГИЧЕСКИЙ СЛОВАРЬ ПО КУРСУ «ОТЕЧЕСТВЕННАЯ ИСТОРИЯ»;Акифьева Н.В.;ЭОР УрФУ;ЭИ;01.10.2005;;https://study.urfu.ru/Aid/ViewMeta/131
РАСЧЕТ ЗАТРАТ НА ДИПЛОМНУЮ НАУЧНО-ИССЛЕДОВАТЕЛЬСКУЮ РАБОТУ;Хмелевская Г.Г.;ЭОР УрФУ;ЭИ;01.10.2005;;https://study.urfu.ru/Aid/ViewMeta/132
ОТНОСИТЕЛЬНОЕ ПОЛОЖЕНИЕ ГЕОМЕТРИЧЕСКИХ ОБЪЕКТОВ;Кириллова Т.И.;ЭОР УрФУ;ЭИ;01.10.2005;;https://study.urfu.ru/Aid/ViewMeta/133
ПЛАСТИЧЕСКАЯ ДЕФОРМАЦИЯ И РЕКРИСТАЛЛИЗАЦИЯ МЕТАЛЛОВ;Мальцева Т.В.;ЭОР УрФУ;ЭИ;01.10.2005;;https://study.urfu.ru/Aid/ViewMeta/134
КРИСТАЛЛИЗАЦИЯ ЧИСТЫХ МЕТАЛЛОВ;Мальцева Т.В.;ЭОР УрФУ;ЭИ;01.10.2005;;https://study.urfu.ru/Aid/ViewMeta/135
ЭЛЕМЕНТЫ РАДИОЧАСТОТНЫХ ЛИНИЙ ПЕРЕДАЧИ;Соловьянова И.П.;ЭОР УрФУ;ЭИ;12.10.2005;;https://study.urfu.ru/Aid/ViewMeta/138
ОБРАБОТКА СИГНАЛОВ В ТИПОВЫХ РАДИОТЕХНИЧЕСКИХ ЗВЕНЬЯХ;Трухин М.П.;ЭОР УрФУ;ЭИ;12.10.2005;;https://study.urfu.ru/Aid/ViewMeta/139
СЛОЖНОЕ ДВИЖЕНИЕ ТОЧКИ;Волкова М.В.;ЭОР УрФУ;ЭИ;12.10.2005;;https://study.urfu.ru/Aid/ViewMeta/140
Корреляционно-регрессионный анализ связи показателей коммерческой деятельности с использованием программы Excel;Бараз В.Р.;ЭОР УрФУ;ЭИ;19.10.2005;;https://study.urfu.ru/Aid/ViewMeta/142
ТЕРМОДИНАМИЧЕСКИЕ СВОЙСТВА И ПРОЦЕССЫ ВЛАЖНОГО ВОЗДУХА;Белоусов В.С.;ЭОР УрФУ;ЭИ;28.10.2005;;https://study.urfu.ru/Aid/ViewMeta/143
АНАЛИЗ НА ПЭВМ МАРШРУТОВ ВОЛОЧЕНИЯ, ХОЛОДНОЙ ПРОКАТКИ И ПРЕССОВАНИЯ ТРУБ;Богатов А.А.;ЭОР УрФУ;ЭИ;28.10.2005;;https://study.urfu.ru/Aid/ViewMeta/144
ТЕХНОЛОГИЯ КОНСТРУКЦИОННЫХ МАТЕРИАЛОВ;Капустин Ф.Л.;ЭОР УрФУ;ЭИ;28.10.2005;;https://study.urfu.ru/Aid/ViewMeta/145
MICROSOFT OFFICE: СОЗДАНИЕ СОСТАВНОГО ДОКУМЕНТА WORD;Полупанова Т.И.;ЭОР УрФУ;ЭИ;28.10.2005;;https://study.urfu.ru/Aid/ViewMeta/146
МЕХАНИЗИРОВАННАЯ ДУГОВАЯ СВАРКА ПОД ФЛЮСОМ;Катаев Р.Ф.;ЭОР УрФУ;ЭИ;31.10.2005;;https://study.urfu.ru/Aid/ViewMeta/147
МАТЕМАТИКА: Курс лекций для технических университетов. Части 1 и 2;"Рыбалко А.Ф.;Соболев А.Б.";ЭОР УрФУ;ЭИ;08.11.2005;"аналитическая геометрия;векторная алгебра;математический анализ";https://study.urfu.ru/Aid/ViewMeta/149
биография;Жулидов В.Л.;ЭОР УрФУ;ЭИ;09.11.2005;"Архангельский Анатолий Львович 100-летие со дня рождения;кафедра ""Материаловедение в строительстве"" УПИ";https://study.urfu.ru/Aid/ViewMeta/150
ЭЛЕКТРОННЫЕ ТАБЛИЦЫ: ОБРАБОТКА СПИСКОВ;Петрова В.А.;ЭОР УрФУ;ЭИ;09.11.2005;;https://study.urfu.ru/Aid/ViewMeta/151
Учебно-методический комплекс по дисциплине EH.Ф.01 Математика;"Рыбалко Н.М.;Соболев А.Б.";ЭОР УрФУ;ЭИ;15.11.2005;"Линейная алгебра;аналитическая геометрия;математический анализ;диферренциальное и интегральное исчисления;дифференциальные уравнения;функции нескольких переменных;теория поля;ряды;теория вероятностей";https://study.urfu.ru/Aid/ViewMeta/159
МЕТРОЛОГИЯ, СТАНДАРТИЗАЦИЯ И СЕРТИФИКАЦИЯ;Красильников А.Я.;ЭОР УрФУ;ЭИ;01.12.2005;;https://study.urfu.ru/Aid/ViewMeta/165
ТЕХНОЛОГИЯ ДУГОВОЙ СВАРКИ АЛЮМИНИЯ И АЛЮМИНИЕВЫХ СПЛАВОВ;Катаев Р.Ф.;ЭОР УрФУ;ЭИ;01.12.2005;;https://study.urfu.ru/Aid/ViewMeta/166
Лабораторные работы 1-7;Долматов А.Г.;ЭОР УрФУ;ЭИ;01.12.2005;;https://study.urfu.ru/Aid/ViewMeta/167
Корригирующая гимнастика при заболеваниях остеохондроза шейного и грудного отделов позвоночника;Жданкина Е.Ф.;ЭОР УрФУ;ЭИ;01.12.2005;;https://study.urfu.ru/Aid/ViewMeta/168
СРЕДА ВИЗУАЛИЗАЦИИ КРИСТАЛЛОГРАФИЧЕСКИХ ОБЪЕКТОВ CARINE V3.1;Кругликов Н.А.;ЭОР УрФУ;ЭИ;01.12.2005;;https://study.urfu.ru/Aid/ViewMeta/169
